Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Protein stable ID	Protein stable ID version	Gene name	Source of gene name
ENSMUSG00000100726	ENSMUSG00000100726.3	ENSMUST00000249286	ENSMUST00000249286.1	ENSMUSP00000159662	ENSMUSP00000159662.1	Gm21497	MGI Symbol
ENSMUSG00000101200	ENSMUSG00000101200.2	ENSMUST00000190832	ENSMUST00000190832.2			Gm20802	MGI Symbol
ENSMUSG00000099903	ENSMUSG00000099903.2	ENSMUST00000188541	ENSMUST00000188541.2			Gm29070	MGI Symbol
ENSMUSG00000099903	ENSMUSG00000099903.2	ENSMUST00000187934	ENSMUST00000187934.2			Gm29070	MGI Symbol
ENSMUSG00000100972	ENSMUSG00000100972.3	ENSMUST00000185924	ENSMUST00000185924.2	ENSMUSP00000139793	ENSMUSP00000139793.2	Gm28553	MGI Symbol
ENSMUSG00000100972	ENSMUSG00000100972.3	ENSMUST00000249287	ENSMUST00000249287.1	ENSMUSP00000159663	ENSMUSP00000159663.1	Gm28553	MGI Symbol
ENSMUSG00000102019	ENSMUSG00000102019.2	ENSMUST00000186728	ENSMUST00000186728.2			Gm21873	MGI Symbol
ENSMUSG00000101465	ENSMUSG00000101465.2	ENSMUST00000188255	ENSMUST00000188255.2			Gm29190	MGI Symbol
ENSMUSG00000101465	ENSMUSG00000101465.2	ENSMUST00000191600	ENSMUST00000191600.2			Gm29190	MGI Symbol
ENSMUSG00000095578	ENSMUSG00000095578.8	ENSMUST00000187433	ENSMUST00000187433.7	ENSMUSP00000140706	ENSMUSP00000140706.2	Gm21760	MGI Symbol
ENSMUSG00000095578	ENSMUSG00000095578.8	ENSMUST00000249288	ENSMUST00000249288.1	ENSMUSP00000159664	ENSMUSP00000159664.1	Gm21760	MGI Symbol
ENSMUSG00000095135	ENSMUSG00000095135.8	ENSMUST00000185713	ENSMUST00000185713.7	ENSMUSP00000140010	ENSMUSP00000140010.2	Gm21858	MGI Symbol
ENSMUSG00000095135	ENSMUSG00000095135.8	ENSMUST00000249289	ENSMUST00000249289.1	ENSMUSP00000159665	ENSMUSP00000159665.1	Gm21858	MGI Symbol
ENSMUSG00000100195	ENSMUSG00000100195.2	ENSMUST00000185825	ENSMUST00000185825.2			Gm29244	MGI Symbol
ENSMUSG00000100667	ENSMUSG00000100667.3	ENSMUST00000188244	ENSMUST00000188244.2	ENSMUSP00000140263	ENSMUSP00000140263.2	1700040F15Rik	MGI Symbol
ENSMUSG00000100667	ENSMUSG00000100667.3	ENSMUST00000249290	ENSMUST00000249290.1	ENSMUSP00000159666	ENSMUSP00000159666.1	1700040F15Rik	MGI Symbol
ENSMUSG00000101653	ENSMUSG00000101653.3	ENSMUST00000189765	ENSMUST00000189765.2	ENSMUSP00000140983	ENSMUSP00000140983.2	Gm20792	MGI Symbol
ENSMUSG00000101653	ENSMUSG00000101653.3	ENSMUST00000249291	ENSMUST00000249291.1	ENSMUSP00000159667	ENSMUSP00000159667.1	Gm20792	MGI Symbol
ENSMUSG00000100423	ENSMUSG00000100423.2	ENSMUST00000188778	ENSMUST00000188778.2			Gm28754	MGI Symbol
ENSMUSG00000100423	ENSMUSG00000100423.2	ENSMUST00000190629	ENSMUST00000190629.2			Gm28754	MGI Symbol
